mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats     	next
1 	1 	0     	3/2    	3/2    	0        	     	                	          	       	      	firstMeasure	2
2 	2 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	3
3 	3 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	4
4 	4 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	5
5 	5 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	6
6 	6 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	7
7 	7 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	8
8 	8 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	9
9 	9 	0     	3/2    	3/2    	0        	     	                	          	       	      	            	10
10	10	0     	2/4    	1/2    	0        	     	                	          	       	      	            	11
11	11	0     	3/2    	3/2    	0        	     	                	          	       	      	            	12
12	12	0     	3/2    	3/2    	0        	     	                	          	       	      	            	13
13	13	0     	3/2    	3/2    	0        	     	                	          	       	      	            	14
14	14	0     	3/2    	3/2    	0        	     	                	          	       	line  	            	15
15	15	0     	3/2    	3/2    	0        	     	                	          	       	      	            	16
16	16	0     	3/2    	3/2    	0        	     	                	          	       	      	            	17
17	17	0     	3/2    	3/2    	0        	     	                	          	       	      	            	18
18	18	0     	2/4    	1/2    	0        	     	                	          	       	      	            	19
19	19	0     	2/4    	1/2    	0        	     	                	          	       	      	            	20
20	20	0     	2/4    	1/2    	0        	     	                	          	       	      	            	21
21	21	0     	2/4    	1/2    	0        	     	                	          	       	line  	            	22
22	22	0     	2/4    	1/2    	0        	     	                	          	       	      	            	23
23	23	0     	2/4    	1/2    	0        	     	                	          	       	      	            	24
24	24	0     	2/4    	1/2    	0        	     	                	          	       	      	            	25
25	25	0     	2/4    	1/2    	0        	     	                	          	       	      	            	26
26	26	0     	2/4    	1/2    	0        	     	                	          	end    	      	lastMeasure 	-1
